piction ID,filename,event ID,permissions,iso 8601,day,month,year,recording location,pfa series,event title,event notes,technical/recording notes,tape number,tape side,speakers 1,speakers 2,speakers 3,speakers 4,speakers 5,speakers 6,speakers 7,speakers 8,speakers 9,speakers 10,speakers 11,speakers 12,film titles 1,film titles 2,film titles 3,film titles 4,film titles 5,film titles 6,film titles 7,film titles 8,film titles 9,film titles 10,film titles 11,film titles 12,film titles 13,film titles 14,film titles 15,film titles 16,film titles 17,film titles 18,Born-digital status,digitizer,file size
11878368,20101107_Parsons-Widow_Mark-Sandberg.WAV,02341,3,2010-11-07T00:00:00Z,07,11,2010,,Parsons Widow,Parsons Widow,,,,,Mark Sandberg,,,,,,,,,,,,Parsons Widow,,,,,,,,,,,,,,,,,,Born-digital,,124070444
11878377,20101109_Look-At-What-The-Light-Did-Now_Leslie-Feist_Anthony-Seck_Simone-Rubi_Mary-Rozzi.WAV,02342,3,2010-11-09T00:00:00Z,09,11,2010,,Look At What The Light Did Now,Look At What The Light Did Now,,,,,Leslie Feist,Anthony Seck,Simone Rubi,Mary Rozzi,,,,,,,,,Look At What The Light Did Now,,,,,,,,,,,,,,,,,,Born-digital,,182645036
11878386,20101111_Ode_Kelly-Reichardt.WAV,02343,2,2010-11-11T00:00:00Z,11,11,2010,,Ode,Ode,,,,,Kelly Reichardt,,,,,,,,,,,,Ode,,,,,,,,,,,,,,,,,,Born-digital,,136058156
11878398,20101112_Old-Joy_Kelly-Reichardt.WAV,02344,2,2010-11-12T00:00:00Z,12,11,2010,,Old Joy,Old Joy,,,,,Kelly Reichardt,,,,,,,,,,,,Old Joy,,,,,,,,,,,,,,,,,,Born-digital,,208813868
11878421,20101113_Wendy-And-Lucy_Kelly-Reichardt.WAV,02345,2,2010-11-13T00:00:00Z,13,11,2010,,Wendy And Lucy,Wendy and Lucy,,,,,Kelly Reichardt,,,,,,,,,,,,Wendy And Lucy,,,,,,,,,,,,,,,,,,Born-digital,,356908076
11878441,20101114_Once-Upon-A-Time_Bride-Of-Glomdal_Amanda-Elaine-Doxtator.WAV,02346,1,2010-11-14T00:00:00Z,14,11,2010,,Once Upon A Time,Bride Of Glomdal,,,,,Amanda Elaine Doxtator,,,,,,,,,,,,Bride Of Glomdal,,,,,,,,,,,,,,,,,,Born-digital,,97046828
11878450,20101114_Radical-Light_1980-1989_Janis-Crystal-Lipzin_Chuck-Hudina.WAV,02347,1,2010-11-14T00:00:00Z,14,11,2010,,Radical Light,1980-1989,,,,,Janis Crystal Lipzin,Chuck Hudina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,106610732
11878459,20101117_Surface-Tension_Federico-Windhausen.WAV,02348,3,2010-11-17T00:00:00Z,17,11,2010,,Surface Tension,Surface Tension,,,,,Federico Windhausen,,,,,,,,,,,,Surface Tension,,,,,,,,,,,,,,,,,,Born-digital,,55733804
11878468,20101121_Radical-Light_1990-1999_Jenni-Olson_Kerry-Laitala_Greta-Snider_Sandra-Davis_Jeff-Warren.WAV,02349,1,2010-11-21T00:00:00Z,21,11,2010,,Radical Light,1990-1999,,,,,Jenni Olson,Kerry Laitala,Greta Snider,Sandra Davis,Jeff Warren,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,252972332
11878477,20101201_Radical-Light_Tribulation-99_Craig-Baldwin.WAV,02350,1,2010-12-01T00:00:00Z,01,12,2010,,Radical Light,Tribulation 99,,,,,Craig Baldwin,,,,,,,,,,,,Tribulation 99,,,,,,,,,,,,,,,,,,Born-digital,,160487468
11878487,20110123_Radical-Light_Post-Conceptual-Performance-Video_Tony-Labat_Anne-Mc-Guire.WAV,02351,2,2011-01-23T00:00:00Z,23,01,2011,,Radical Light,Post Conceptual Performance Video,,,,,Tony Labat,Anne McGuire,Tony Discenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,160671788
11878496,20110130_Pudhupettai_Cruel-Cinema_Lalitha-Gopalan_Anuj-Vaidya.WAV,02352,3,2011-01-30T00:00:00Z,30,01,2011,,Pudhupettai,Pudhupettai,,,,,Lalitha Gopalan,Anuj Vaidya,,,,,,,,,,,Pudhupettai,,,,,,,,,,,,,,,,,,Born-digital,,38621996
11878505,20110130_Radical-Light_Punk-Attitudinal_Dale-Hoyt_Barney-Haynes_Mindaugis-Bagdon.WAV,02353,1,2011-01-30T00:00:00Z,30,01,2011,,Radical Light,Punk Attitudinal,,,,,Dale Hoyt,Barney Haynes,Mindaugis Bagdon,,,,,,,,,,Punk Attitudinal,,,,,,,,,,,,,,,,,,Born-digital,,193175552
11878514,20110205_Screenagers_13th-Annual-Bay-Area-High-School-Festival_Various-Speakers.WAV,02354,3,2011-02-05T00:00:00Z,05,02,2011,,Screenagers,Screenagers 13th Annual Bay Area High School Festival,,,,,Various Artists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,280675628
11878523,20110206_Radical-Light_Visions-of-Veracity_Video-1980s_Jeanne-C-Finley_Dale-Hoyt_Doug-Hall.WAV,02355,2,2011-02-06T00:00:00Z,06,02,2011,,Radical Light,Radical Light,,,,,Jeanne C. Finley,Dale Hoyt,Doug Hall,,,,,,,,,,Radical Light,,,,,,,,,,,,,,,,,,Born-digital,,107523116
11878532,20110209_Radical-Light_Tongues-Untied_Vivian-Kleiman.WAV,02356,1,2011-02-09T00:00:00Z,09,02,2011,,Radical Light,Tongues Untied,,,,,Vivian Kleiman,,,,,,,,,,,,TONGUES UNTIED,,,,,,,,,,,,,,,,,,Born-digital,,152144684
11878541,20110213_Lunch-Love-Community-Documentary-Project_Helen-De-Michiel_Sophie-Constantinou_Et-Al.WAV,02357,3,2011-02-13T00:00:00Z,13,02,2011,,Lunch Love Community Documentary Project,Lunch Love Community Documentary Project,,,,,Helen De Michiel,Sophie Constantinou,,,,,,,,,,,Lunch Love Community Documentary Project,,,,,,,,,,,,,,,,,,Born-digital,,673083692
11878550,20110216_Radical-Light_Abstraction-In-Film_Nathaniel-Dorsky_Elise-Hurwitz.WAV,02358,1,2011-02-16T00:00:00Z,16,02,2011,,Radical Light,Abstraction In Film,,,,,Nathaniel Dorsky,Elise Hurwitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,168311852
11878559,20110223_Cinema-Across-Media_Rien-Que-Les-Heures_Anne-Nesbet.WAV,02359,3,2011-02-23T00:00:00Z,23,02,2011,,Cinema Across Media,Rien Que Les Heures,,,,,Anne Nesbet,,,,,,,,,,,,Rien Que Les Heures,,,,,,,,,,,,,,,,,,Born-digital,,357746732
11878568,20110224_Cinema-Across-Media_L-Inhumaine_Gertrud-Koch.WAV,02360,3,2011-02-24T00:00:00Z,24,02,2011,,Cinema Across Media,L'Inhumaine,,,,,Gertrud Koch,,,,,,,,,,,,L'Inhumaine,,,,,,,,,,,,,,,,,,Born-digital,,136270124
11878577,20110225_Cinema-Across-Media_Silent-Comedies_Paolo-Cherchi-Usai.WAV,02361,3,2011-02-25T00:00:00Z,25,02,2011,,Cinema Across Media,Silent Comedies,,,,,Paolo Cherchi Usai,,,,,,,,,,,,Silent Comedies,,,,,,,,,,,,,,,,,,Born-digital,,361433132
11878586,20110302_Radical-Light_Pieces-of-Eight_Bob-Branaman_Keith-Evans_Janis-Crystal-Lipzin_Steve-Polta_Jeff-Warrin_Jacalyn-White.WAV,02362,3,2011-03-02T00:00:00Z,02,03,2011,,Radical Light,Pieces of Eight,,,,,Bob Branaman,Keith Evans,Janis Crystal Lipzin,Steve Polta,Jeff Warrin,Jacalyn White,,,,,,,Pieces of Eight,,,,,,,,,,,,,,,,,,Born-digital,,539488556
11878595,20110305_Craneway-Event_Trevor-Carlton-of-the-Merce-Cunningham-Dance-Project.WAV,02363,3,2011-03-05T00:00:00Z,05,03,2011,,Craneway Event,Craneway Event,,,,,Trevor Carlton,,,,,,,,,,,,Craneway Event,,,,,,,,,,,,,,,,,,Born-digital,,66979628
11878604,20110306_Radical-Light_Video-Collectives_Doug-Hall_Chip-Lord_Jim-Mayer_John-Rogers_Megan-Williams.WAV,02364,3,2011-03-06T00:00:00Z,06,03,2011,,Radical Light,Video Collectives,,,,,Doug Hall,Chip Lord,Jim Mayer,John Rogers,Megan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,444630572
